City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Ust-Nera,RU,2022-07-25 17:15:16,64.5667,143.2,58.05,63,72,3.2,broken clouds
122,Namibe,AO,2022-07-25 17:16:47,-15.1961,12.1522,64.71,82,18,7.65,few clouds
123,Viedma,AR,2022-07-25 17:16:47,-40.8135,-62.9967,48.0,79,100,14.67,moderate rain
124,Olinda,BR,2022-07-25 17:16:48,-8.0089,-34.8553,78.53,69,40,18.41,scattered clouds
125,Harper,LR,2022-07-25 17:16:48,4.375,-7.7169,77.11,70,97,6.58,overcast clouds
126,Wajid,SO,2022-07-25 17:16:49,3.8093,43.2471,82.06,35,59,17.87,broken clouds
127,Kruisfontein,ZA,2022-07-25 17:13:38,-34.0033,24.7314,55.89,73,0,12.28,clear sky
128,Katsuura,JP,2022-07-25 17:16:49,35.1333,140.3,79.2,93,90,15.57,overcast clouds
129,Ahipara,NZ,2022-07-25 17:16:49,-35.1667,173.1667,56.89,87,38,18.95,scattered clouds
130,Tual,ID,2022-07-25 17:16:50,-5.6667,132.75,79.77,83,76,22.39,broken clouds
131,Vardo,NO,2022-07-25 17:16:50,70.3705,31.1107,53.58,82,0,8.05,clear sky
132,Kahului,US,2022-07-25 17:13:34,20.8947,-156.47,78.82,70,0,9.22,clear sky
133,Raghunathpur,IN,2022-07-25 17:16:51,23.55,86.6667,79.7,85,100,8.14,overcast clouds
134,Sinnamary,GF,2022-07-25 17:16:51,5.3833,-52.95,84.61,70,80,9.42,broken clouds
135,Kodiak,US,2022-07-25 17:13:35,57.79,-152.4072,60.31,77,0,4.61,clear sky
136,Asekeyevo,RU,2022-07-25 17:16:51,53.5742,52.7972,64.02,89,46,2.59,light rain
137,Xuzhou,CN,2022-07-25 17:16:52,34.1805,117.1571,76.75,91,1,6.35,moderate rain
138,Cerro Punta,PA,2022-07-25 17:16:52,8.85,-82.5667,55.99,64,100,2.59,overcast clouds
139,Avarua,CK,2022-07-25 17:16:53,-21.2078,-159.775,68.05,68,75,2.3,broken clouds
140,Yatou,CN,2022-07-25 17:17:53,37.15,122.3833,71.74,88,0,4.94,clear sky
141,Srednekolymsk,RU,2022-07-25 17:17:53,67.45,153.6833,41.4,78,90,9.89,overcast clouds
142,Inverness,GB,2022-07-25 17:16:36,57.4791,-4.224,59.79,71,75,16.11,broken clouds
143,Zatoka,UA,2022-07-25 17:17:54,46.0725,30.4654,79.56,56,90,3.36,overcast clouds
144,Chuy,UY,2022-07-25 17:17:54,-33.6971,-53.4616,61.93,92,100,8.43,moderate rain
145,Inverell,AU,2022-07-25 17:17:54,-29.7833,151.1167,50.16,86,0,1.01,clear sky
146,Meulaboh,ID,2022-07-25 17:15:57,4.1363,96.1285,74.39,98,100,3.58,overcast clouds
147,Ada,US,2022-07-25 17:15:34,43.4166,-116.1262,83.01,27,0,4.0,clear sky
148,Xining,CN,2022-07-25 17:17:55,36.6167,101.7667,61.25,55,0,4.03,clear sky
149,Coihaique,CL,2022-07-25 17:12:59,-45.5752,-72.0662,34.41,80,75,5.75,broken clouds
150,Omsukchan,RU,2022-07-25 17:17:55,62.5333,155.8,57.92,54,100,3.33,overcast clouds
151,Hovd,MN,2022-07-25 17:17:56,48.0056,91.6419,58.21,57,64,5.08,broken clouds
152,Esperance,AU,2022-07-25 17:17:56,-33.8667,121.9,51.85,64,0,15.52,clear sky
153,Aleksandrov Gay,RU,2022-07-25 17:17:56,50.147,48.5704,70.56,62,95,6.58,overcast clouds
154,Northam,GB,2022-07-25 17:17:57,51.0333,-4.2167,64.38,85,54,15.39,broken clouds
155,Yerbogachen,RU,2022-07-25 17:17:57,61.2767,108.0108,64.65,83,89,5.55,overcast clouds
156,Saskylakh,RU,2022-07-25 17:17:58,71.9167,114.0833,69.67,55,98,5.82,overcast clouds
157,Ponta Do Sol,PT,2022-07-25 17:17:58,32.6667,-17.1,90.23,37,61,6.55,broken clouds
158,Hithadhoo,MV,2022-07-25 17:17:58,-0.6,73.0833,82.6,72,77,8.43,broken clouds
159,Warmbad,NA,2022-07-25 17:17:59,-28.45,18.7333,67.37,24,1,14.25,clear sky
160,Jacareacanga,BR,2022-07-25 17:17:59,-6.2222,-57.7528,99.9,23,4,3.29,clear sky
161,Corsicana,US,2022-07-25 17:14:47,32.0954,-96.4689,95.77,41,0,10.36,clear sky
162,Den Helder,NL,2022-07-25 17:17:59,52.9599,4.7593,69.96,80,100,21.0,overcast clouds
163,Klyuchi,RU,2022-07-25 17:18:00,52.2667,79.1667,64.51,46,0,6.38,clear sky
164,Saldanha,ZA,2022-07-25 17:13:27,-33.0117,17.9442,59.18,64,0,10.76,clear sky
165,Roald,NO,2022-07-25 17:18:00,62.5833,6.1333,68.16,94,75,10.36,broken clouds
166,San Rafael,AR,2022-07-25 17:16:10,-34.6177,-68.3301,54.73,75,99,2.86,overcast clouds
167,Front Royal,US,2022-07-25 17:17:15,38.9182,-78.1944,91.24,82,40,0.0,scattered clouds
168,Sibolga,ID,2022-07-25 17:18:01,1.7427,98.7792,75.07,91,100,2.64,moderate rain
