City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Kudahuvadhoo,MV,81.09,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
593,Tambopata,PE,78.69,overcast clouds,-12.7333,-69.1833,Enashawa Lodge
595,Parakou,BJ,76.8,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
596,Riviere-Du-Loup,CA,73.67,overcast clouds,47.8304,-69.5342,Hôtel Universel
599,Muros,ES,81.68,few clouds,42.7762,-9.0603,Apartment Av. Castelao
602,Rafai,CF,75.25,overcast clouds,4.95,23.9167,
604,Eyl,SO,77.86,broken clouds,7.9803,49.8164,Amiin Hotel
606,Popondetta,PG,71.62,broken clouds,-8.7537,148.2534,Timos Transit House
608,Anakapalle,IN,80.55,overcast clouds,17.6833,83.0167,Satya Lodge
612,Arrifes,PT,73.65,few clouds,37.7667,-25.7,Hotel Ponta Delgada
615,Ranau,MY,70.77,light rain,5.9538,116.6641,The Second Room
617,Noumea,NC,73.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
618,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
624,Playa Vicente,MX,84.61,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
630,Mahibadhoo,MV,81.59,overcast clouds,3.7833,72.9667,Omadhoo Inn
631,Waingapu,ID,71.26,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
636,Mandan,US,76.37,clear sky,46.8267,-100.8896,Twin City Estates
639,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
642,Horsham,GB,73.65,scattered clouds,51.064,-0.3272,Springfields Hotel
647,Unai,BR,85.87,clear sky,-16.3575,-46.9061,Hotel Regente
648,Novyy Rogachik,RU,74.3,light rain,48.6768,44.0608,V Gostyakh u Baby Poli
650,Santarem,BR,87.93,few clouds,-2.4431,-54.7083,Hotel Imperador
654,Nara,JP,83.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
655,Kapoeta,SS,84.34,broken clouds,4.7717,33.5903,Eastgate Hotel
656,Bambanglipuro,ID,70.66,overcast clouds,-7.95,110.2833,Puri Brata
658,Panacan,PH,80.4,overcast clouds,9.2463,118.4082,Mom's Place Resort
661,Mancio Lima,BR,86.07,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
662,Onokhino,RU,73.72,light rain,56.925,65.5394,
663,Kilosa,TZ,72.72,broken clouds,-6.8333,36.9833,Hotel Dorice & Daughters
665,Rantauprapat,ID,73.92,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
667,Sangueya,GN,74.12,light rain,10.7,-14.3667,
672,Atasu,KZ,73.31,few clouds,48.6814,71.6433,Dostyk
673,Ghimes-Faget,RO,75.22,broken clouds,46.5833,26.0667,Little House
680,Veraval,IN,81.66,overcast clouds,20.9,70.3667,Lords Inn Somnath
681,Cockburn Town,TC,81.81,few clouds,21.4612,-71.1419,Osprey Beach Hotel
682,Mizdah,LY,88.75,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
683,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
